,gi,tax_names,count
0,384145136,Amycolatopsis mediterranei S699,21
1,345007964,Streptomyces violaceusniger Tu 4113,20
2,37524032,Photorhabdus luminescens subsp. laumondii TTO1,20
3,386845069,Actinoplanes sp. SE50/110,19
4,290954631,Streptomyces scabiei 87.22,19
5,126432613,Mycobacterium sp. JLS,18
6,116619145,Candidatus Solibacter usitatus Ellin6076,17
7,256389232,Catenulispora acidiphila DSM 44928,17
8,330806657,Pseudomonas brassicacearum subsp. brassicacearum NFM421,17
9,375143366,Niastella koreensis GR20-10,17
10,186680550,Nostoc punctiforme PCC 73102,16
11,219846956,Chloroflexus aggregans DSM 9485,16
12,240136783,Methylobacterium extorquens AM1,15
13,332661999,Haliscomenobacter hydrossis DSM 1100,15
14,239904639,Desulfovibrio magneticus RS-1,15
15,379759437,Mycobacterium intracellulare MOTT-64,15
16,344997652,Streptomyces sp. SirexAA-E,14
17,110645304,Pseudomonas aeruginosa PAO1,14
18,271961609,Streptosporangium roseum DSM 43021,14
19,220920054,Methylobacterium nodulans ORS 2060,14
20,383768277,Bradyrhizobium sp. S23321,14
21,108756767,Myxococcus xanthus DK 1622,14
22,253698656,Geobacter sp. M21,14
23,427727289,Nostoc sp. PCC 7524,14
24,157959830,Shewanella pealeana ATCC 700345,13
25,428296779,Calothrix sp. PCC 6303,13
26,284034943,Spirosoma linguale DSM 74,13
27,162448269,Sorangium cellulosum So ce56,13
28,269118642,Sebaldella termitidis ATCC 33386,13
29,160895450,Delftia acidovorans SPH-1,13
30,333911667,Delftia sp. Cs1-4,13
31,374319880,Paenibacillus terrae HPL-003,13
32,385235550,Acinetobacter baumannii TCDC-AB0715,13
33,427722021,Leptolyngbya sp. PCC 7376,13
34,170738367,Methylobacterium sp. 4-46,13
35,86747127,Rhodopseudomonas palustris HaA2,13
36,50953765,Mycobacterium tuberculosis CDC1551,13
37,357409266,Streptomyces pratensis ATCC 33331,13
38,315500818,Micromonospora sp. L5,13
39,218698419,Escherichia coli IAI39,13
40,433601838,Saccharothrix espanaensis DSM 44229,13
41,207855516,Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,13
42,311277332,Enterobacter lignolyticus SCF1,13
43,302864508,Micromonospora aurantiaca ATCC 27029,13
44,157373141,Shewanella sediminis HAW-EB3,13
45,428315182,Oscillatoria nigro-viridis PCC 7112,13
46,300781937,Amycolatopsis mediterranei U32,13
47,116048575,Pseudomonas aeruginosa UCBPP-PA14,13
48,322433659,Granulicella tundricola MP5ACTX9,12
49,229587578,Pseudomonas fluorescens SBW25,12
50,134093294,Herminiimonas arsenicoxydans,12
51,222093774,Bacillus cereus Q1,12
52,384213726,Bradyrhizobium japonicum USDA 6,12
53,427733619,Rivularia sp. PCC 7116,12
54,310817278,Stigmatella aurantiaca DW4/3-1,12
55,269124277,Thermomonospora curvata DSM 43183,12
56,386720569,,12
57,408675720,Streptomyces venezuelae ATCC 10712,12
58,426406915,Pseudomonas sp. UW4,12
59,378706362,Shewanella baltica OS678,12
60,83642913,Hahella chejuensis KCTC 2396,12
61,182433793,Streptomyces griseus subsp. griseus NBRC 13350,12
62,148545259,Pseudomonas putida F1,12
63,153952670,Clostridium kluyveri DSM 555,12
64,402558824,Bacillus thuringiensis HD-771,12
65,375253814,Tannerella forsythia ATCC 43037,12
66,86738724,Frankia sp. CcI3,12
67,32141095,Streptomyces coelicolor A3(2),12
68,219666071,Desulfitobacterium hafniense DCB-2,12
69,399533820,Amycolatopsis mediterranei S699,12
70,60679597,Bacteroides fragilis NCTC 9343,12
71,402774243,Bacillus subtilis QB928,12
72,222084201,Agrobacterium radiobacter K84,12
73,397692770,Pseudomonas putida DOT-T1E,12
74,21229478,Xanthomonas campestris pv. campestris str. ATCC 33913,11
75,271498578,Dickeya dadantii Ech586,11
76,89892746,Desulfitobacterium hafniense Y51,11
77,383452024,Corallococcus coralloides DSM 2259,11
78,320101555,Isosphaera pallida ATCC 43644,11
79,121592436,Acidovorax sp. JS42,11
80,428200461,Pleurocapsa sp. PCC 7327,11
81,386855208,Deinococcus gobiensis I-0,11
82,379752013,Mycobacterium intracellulare MOTT-02,11
83,37519569,Gloeobacter violaceus PCC 7421,11
84,187918714,Burkholderia phytofirmans PsJN,11
85,384435229,Synechocystis sp. PCC 6803,11
86,29140543,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,11
87,379718015,Paenibacillus mucilaginosus 3016,11
88,386331671,Ralstonia solanacearum Po82,11
89,407641178,Nocardia brasiliensis ATCC 700358,11
90,118475778,Bacillus thuringiensis str. Al Hakam,11
91,226359415,Rhodococcus opacus B4,11
92,407466711,Escherichia coli O104:H4 str. 2009EL-2071,11
93,307149945,Cyanothece sp. PCC 7822,11
94,120434372,Gramella forsetii KT0803,11
95,229599883,Bacillus anthracis str. A0248,11
96,167031021,Pseudomonas putida GB-1,11
97,399984432,Mycobacterium smegmatis str. MC2 155,11
98,15829254,Escherichia coli O157:H7 str. Sakai,11
99,297558985,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,11
100,291297538,Stackebrandtia nassauensis DSM 44728,11
101,71277742,Colwellia psychrerythraea 34H,11
102,254558653,Methylobacterium extorquens DM4,11
103,237793320,Clostridium botulinum Ba4 str. 657,11
104,374982757,Streptomyces bingchenggensis BCW-1,11
105,386338936,Shewanella baltica OS117,11
106,224367124,Desulfobacterium autotrophicum HRM2,11
107,118467340,Mycobacterium smegmatis str. MC2 155,11
108,41406098,Mycobacterium avium subsp. paratuberculosis K-10,11
109,150014892,Clostridium beijerinckii NCIMB 8052,11
110,386712343,Halobacillus halophilus DSM 2266,11
111,148251626,Bradyrhizobium sp. BTAi1,11
112,319790694,Variovorax paradoxus EPS,11
113,21240774,Xanthomonas axonopodis pv. citri str. 306,11
114,134096620,Saccharopolyspora erythraea NRRL 2338,11
115,333898208,Pseudomonas fulva 12-X,11
116,256374160,Actinosynnema mirum DSM 43827,11
117,146337175,Bradyrhizobium sp. ORS 278,11
118,325106586,Planctomyces brasiliensis DSM 5305,11
119,120401028,Mycobacterium vanbaalenii PYR-1,10
120,188989396,Xanthomonas campestris pv. campestris str. B100,10
121,197103466,Phenylobacterium zucineum HLK1,10
122,383775170,Actinoplanes missouriensis 431,10
123,255033817,Dyadobacter fermentans DSM 18053,10
124,226942170,Azotobacter vinelandii DJ,10
125,392384721,Mycobacterium tuberculosis UT205,10
126,384255905,Rahnella aquatilis HX2,10
127,170724370,Shewanella woodyi ATCC 51908,10
128,346722940,Xanthomonas axonopodis pv. citrumelo F1,10
129,28867243,Pseudomonas syringae pv. tomato str. DC3000,10
130,26986745,Pseudomonas putida KT2440,10
131,319899888,Bacteroides helcogenes P 36-108,10
132,163849457,Methylobacterium extorquens PA1,10
133,27375111,Bradyrhizobium diazoefficiens USDA 110,10
134,389861738,Modestobacter marinus,10
135,319760738,Alicycliphilus denitrificans BC,10
136,118615919,Mycobacterium ulcerans Agy99,10
137,88601322,Methanospirillum hungatei JF-1,10
138,398349897,Sinorhizobium fredii USDA 257,10
139,338209545,Runella slithyformis DSM 19594,10
